ticker,avg_sentiment,sentiment_volatility,min_sentiment,max_sentiment,total_positive_signals,total_negative_signals,avg_relevance,news_count
AAPL,0.617,0.215,0.5,1.0,8,0,0.762,30
AMZN,0.567,0.254,0.0,1.0,6,5,0.793,30
GOOGL,0.6,0.242,0.0,1.0,9,3,0.811,30
JNJ,0.6,0.242,0.0,1.0,10,2,0.788,30
JPM,0.533,0.292,0.0,1.0,10,10,0.806,30
MSFT,0.6,0.242,0.0,1.0,12,3,0.765,30
NVDA,0.567,0.341,0.0,1.0,13,13,0.827,30
PFE,0.55,0.201,0.0,1.0,6,3,0.806,30
WMT,0.633,0.292,0.0,1.0,14,6,0.798,30
XOM,0.6,0.275,0.0,1.0,10,4,0.794,30
