Ticker,price_current,price_change_pct,ma_20,ma_50,ma_200,rsi,macd,bb_upper,bb_lower,volatility,volume_ratio,52_week_high,52_week_low
AAPL,314.35,2.28,305.3,282.32,265.21,67.36,8.4315,318.97,291.64,1.41,0.34,316.94,194.3
MSFT,412.42,-1.02,422.09,408.62,453.99,45.55,4.141,450.62,393.55,1.6,0.27,551.05,355.51
GOOGL,363.41,-1.39,383.51,356.15,304.65,28.18,0.5712,409.15,357.86,1.85,0.31,408.61,161.64
JPM,312.83,0.15,302.36,304.48,304.11,62.64,0.9975,312.58,292.13,1.36,0.24,334.16,257.7
JNJ,232.35,-0.18,227.77,230.25,211.16,58.06,0.1021,235.28,220.25,1.06,0.24,250.27,145.41
XOM,151.79,1.25,152.16,152.8,131.65,36.01,-0.415,161.16,143.16,1.54,0.23,175.22,100.62
AMZN,247.23,0.49,262.85,251.95,232.25,36.06,-1.3493,279.22,246.48,1.9,0.28,278.56,196.0
NVDA,208.68,1.75,218.56,203.97,188.51,39.59,1.6082,232.38,204.74,2.2,0.33,236.26,140.66
PFE,25.92,-0.46,25.79,26.3,25.14,60.35,-0.1005,26.33,25.26,1.5,0.36,28.28,21.89
WMT,119.79,0.77,123.3,125.75,115.1,26.99,-2.9777,137.67,108.93,1.5,0.24,135.16,92.66
